vocabulary,about_ethnicity,about_nationality,about_religion,about_gender,about_sexual_orientation,about_disability,about_class,offensiveness
hick,0,0,0,0,0,0,1,1.00
hoosier,0,0,0,0,0,0,1,0.00
jant,0,0,0,0,0,0,1,0.24
jhant,0,0,0,0,0,0,1,0.24
mil bag,0,0,0,0,0,0,1,0.00
millie,0,0,0,0,0,0,1,0.00
ned,0,0,0,0,0,0,1,0.00
redneck,0,0,0,0,0,0,1,0.00
rube,0,0,0,0,0,0,1,0.00
scallie,0,0,0,0,0,0,1,0.00
scally,0,0,0,0,0,0,1,0.00
scanger,0,0,0,0,0,0,1,0.00
senga,0,0,0,0,0,0,1,0.00
shit kicker,0,0,0,0,0,0,1,0.00
skanger,0,0,0,0,0,0,1,0.00
slag,0,0,0,0,0,0,1,0.10
spide,0,0,0,0,0,0,1,0.00
spiv,0,0,0,0,0,0,1,0.00
steek,0,0,0,0,0,0,1,0.00
stump jumper,0,0,0,0,0,0,1,0.00
tree jumper,0,0,0,0,0,0,1,0.00
yob,0,0,0,0,0,0,1,0.00
yobbo,0,0,0,0,0,0,1,0.00
